region,x,y,side,IW_Theta,IP_Theta,CW_Theta,CP_Theta,wavelength,intensity,integration_time
A,0.0,0.0,x,0,-45,-45,-45,654.5313962192522,1862.0,500000
A,0.0,0.0,x,0,-45,-45,-45,655.2968842146511,1851.0,500000
A,0.0,0.0,x,0,-45,-45,-45,656.0622999405387,1854.0,500000
A,0.0,0.0,x,0,-45,-45,-45,656.8276433969149,1847.0,500000
A,0.0,0.0,x,0,-45,-45,-45,657.5929145837799,1835.0,500000
A,0.0,0.0,x,0,-45,-45,-45,658.3581135011336,1835.0,500000
A,0.0,0.0,x,0,-45,-45,-45,659.123240148976,1836.0,500000
A,0.0,0.0,x,0,-45,-45,-45,659.8882945273072,1829.0,500000
A,0.0,0.0,x,0,-45,-45,-45,660.653276636127,1823.0,500000
A,0.0,0.0,x,0,-45,-45,-45,661.4181864754355,1820.0,500000
A,0.0,0.0,x,0,-45,-45,-45,662.1830240452327,1816.0,500000
A,0.0,0.0,x,0,-45,-45,-45,662.9477893455187,1804.0,500000
A,0.0,0.0,x,0,-45,-45,-45,663.7124823762933,1804.0,500000
A,0.0,0.0,x,0,-45,-45,-45,664.4771031375567,1803.0,500000
A,0.0,0.0,x,0,-45,-45,-45,665.2416516293088,1789.0,500000
A,0.0,0.0,x,0,-45,-45,-45,666.0061278515495,1798.0,500000
A,0.0,0.0,x,0,-45,-45,-45,666.770531804279,1793.0,500000
A,0.0,0.0,x,0,-45,-45,-45,667.5348634874972,1786.0,500000
A,0.0,0.0,x,0,-45,-45,-45,668.2991229012041,1774.0,500000
A,0.0,0.0,x,0,-45,-45,-45,669.0633100453997,1774.0,500000
A,0.0,0.0,x,0,-45,-45,-45,669.827424920084,1764.0,500000
A,0.0,0.0,x,0,-45,-45,-45,670.591467525257,1769.0,500000
A,0.0,0.0,x,0,-45,-45,-45,671.3554378609188,1764.0,500000
A,0.0,0.0,x,0,-45,-45,-45,672.1193359270692,1759.0,500000
